ADDRESS,CERT,CITY,COUNTY,NAME,OFFNAME,SERVTYPE,STALP,STCNTY,STNAME,ZIP,full_address,missed_address,lat,long
1601 Market St,27332,Philadelphia,Philadelphia,Republic Bank,1601 MARKET STREET,11,PA,42101,Pennsylvania,19103,"1601 Market St, Philadelphia, PA 19103",False,39.952933,-75.167418
4356 Frankford Ave,6384,Philadelphia,Philadelphia,"PNC Bank, National Association",FRANKFORD BRANCH,11,PA,42101,Pennsylvania,19124,"4356 Frankford Ave, Philadelphia, PA 19124",False,40.012507,-75.088574
2014 Cottman Ave,57957,Philadelphia,Philadelphia,"Citizens Bank, National Association",COTTMAN BRANCH,11,PA,42101,Pennsylvania,19149,"2014 Cottman Ave, Philadelphia, PA 19149",False,40.050564,-75.065845
195 Franklin Boulevard,57957,Philadelphia,Philadelphia,"Citizens Bank, National Association",FRANKLIN MILLS BRANCH,11,PA,42101,Pennsylvania,19154,"195 Franklin Boulevard, Philadelphia, PA 19154",False,40.083482,-74.996491
9808 Bustleton Ave,29950,Philadelphia,Philadelphia,"Santander Bank, N.A.",BUSTLETON BRANCH,11,PA,42101,Pennsylvania,19115,"9808 Bustleton Ave, Philadelphia, PA 19115",False,40.094655,-75.031306
9309 Krewstown Rd,26647,Philadelphia,Philadelphia,Firstrust Savings Bank,KREWSTOWN SHOPPING CENTER BRANCH,11,PA,42101,Pennsylvania,19115,"9309 Krewstown Rd, Philadelphia, PA 19115",False,40.085829,-75.045233
9869 Bustleton Ave,17534,Philadelphia,Philadelphia,KeyBank National Association,BUSTLETON BRANCH,11,PA,42101,Pennsylvania,19115,"9869 Bustleton Ave, Philadelphia, PA 19115",False,40.092625,-75.030954
2646 E Allegheny Ave,7551,Philadelphia,Philadelphia,"Fulton Bank, National Association",EAST ALLEGHENY  AVENUE BRANCH,11,PA,42101,Pennsylvania,19134,"2646 E Allegheny Ave, Philadelphia, PA 19134",False,39.984374,-75.103001
1701 John F Kennedy Blvd,7551,Philadelphia,Philadelphia,"Fulton Bank, National Association",17th and Arch Branch,11,PA,42101,Pennsylvania,19103,"1701 John F Kennedy Blvd, Philadelphia, PA 19103",False,39.954711,-75.168606
2700 W Girard Ave,7551,Philadelphia,Philadelphia,"Fulton Bank, National Association",Brewerytown Branch,11,PA,42101,Pennsylvania,19130,"2700 W Girard Ave, Philadelphia, PA 19130",False,39.973974,-75.180646
3606 Lancaster Ave,9846,Philadelphia,Philadelphia,Truist Bank,Paloma University City Branch,11,PA,42101,Pennsylvania,19104,"3606 Lancaster Ave, Philadelphia, PA 19104",False,39.958572,-75.19403
15 S 52nd St,628,Philadelphia,Philadelphia,"JPMorgan Chase Bank, National Association",West Philadelphia Branch,11,PA,42101,Pennsylvania,19139,"15 S 52nd St, Philadelphia, PA 19139",False,39.959515,-75.224591
"4101 Market Street, Suite",7551,Philadelphia,Philadelphia,"Fulton Bank, National Association",University Place Branch,11,PA,42101,Pennsylvania,19104,"4101 Market Street, Suite, Philadelphia, PA 19104",False,39.957926,-75.205683
535 East Main Street,11813,Philadelphia,Neshoba,Cadence Bank,Philadelphia Branch,11,MS,28099,Mississippi,39350,"535 East Main Street, Philadelphia, MS 39350",False,32.770613,-89.107369
3925 Walnut St,3510,Philadelphia,Philadelphia,"Bank of America, National Association",UNIVERSITY CITY BRANCH,11,PA,42101,Pennsylvania,19104,"3925 Walnut St, Philadelphia, PA 19104",False,39.95423,-75.201337
400 W Allegheny Ave,29950,Philadelphia,Philadelphia,"Santander Bank, N.A.",PLAZA ALLEGHENY BRANCH,11,PA,42101,Pennsylvania,19133,"400 W Allegheny Ave, Philadelphia, PA 19133",False,39.99897,-75.136846
2815 Grays Ferry Ave,628,Philadelphia,Philadelphia,"JPMorgan Chase Bank, National Association",Grays Ferry,11,PA,42101,Pennsylvania,19146,"2815 Grays Ferry Ave, Philadelphia, PA 19146",False,39.939849,-75.191907
77 Main Street,13748,Philadelphia,Jefferson,The Upstate National Bank,PHILADELPHIA BRANCH,11,NY,36045,New York,13673,"77 Main Street, Philadelphia, NY 13673",False,44.158089,-75.706096
6500 Castor Ave,588,Philadelphia,Philadelphia,Manufacturers and Traders Trust Company,CASTOR BRANCH,11,PA,42101,Pennsylvania,19149,"6500 Castor Ave, Philadelphia, PA 19149",False,40.041088,-75.076261
900 South Street,57957,Philadelphia,Philadelphia,"Citizens Bank, National Association",Eighth & Walnut Branch,11,PA,42101,Pennsylvania,19147,"900 South Street, Philadelphia, PA 19147",False,39.942533,-75.157178
3617 Midvale Ave,9846,Philadelphia,Philadelphia,Truist Bank,PHILADELPHIA EAST FALLS BRANCH,11,PA,42101,Pennsylvania,19129,"3617 Midvale Ave, Philadelphia, PA 19129",False,40.012347,-75.192921
732 S 10th St,28836,Philadelphia,Philadelphia,United Savings Bank,10TH STREET BRANCH,11,PA,42101,Pennsylvania,19147,"732 S 10th St, Philadelphia, PA 19147",False,39.94143,-75.15868
